Time:5/29/2020 11:52:00 AM	Open:302.0300	Close:301.9200	Volume:91899
Time:5/29/2020 11:51:00 AM	Open:301.9150	Close:302.0500	Volume:142885
Time:5/29/2020 11:50:00 AM	Open:301.8301	Close:301.9100	Volume:92347
Time:5/29/2020 11:49:00 AM	Open:301.6000	Close:301.8350	Volume:170666
Time:5/29/2020 11:48:00 AM	Open:301.4200	Close:301.5800	Volume:131580
Time:5/29/2020 11:47:00 AM	Open:301.3267	Close:301.4200	Volume:68572
Time:5/29/2020 11:46:00 AM	Open:301.3900	Close:301.3100	Volume:107142
Time:5/29/2020 11:45:00 AM	Open:301.3400	Close:301.3800	Volume:72364
Time:5/29/2020 11:44:00 AM	Open:301.4500	Close:301.3400	Volume:162590
Time:5/29/2020 11:43:00 AM	Open:301.6399	Close:301.4500	Volume:173558
Time:5/29/2020 11:42:00 AM	Open:301.5500	Close:301.6200	Volume:158060
Time:5/29/2020 11:41:00 AM	Open:301.6000	Close:301.5450	Volume:199590
Time:5/29/2020 11:40:00 AM	Open:301.7400	Close:301.6000	Volume:109408
Time:5/29/2020 11:39:00 AM	Open:301.8000	Close:301.7400	Volume:155893
Time:5/29/2020 11:38:00 AM	Open:301.6300	Close:301.8000	Volume:407625
Time:5/29/2020 11:37:00 AM	Open:301.4900	Close:301.6400	Volume:161236
Time:5/29/2020 11:36:00 AM	Open:301.2800	Close:301.4700	Volume:220825
Time:5/29/2020 11:35:00 AM	Open:301.4300	Close:301.2900	Volume:160595
Time:5/29/2020 11:34:00 AM	Open:301.3500	Close:301.4150	Volume:71122
Time:5/29/2020 11:33:00 AM	Open:301.1850	Close:301.3400	Volume:122383
Time:5/29/2020 11:32:00 AM	Open:301.4700	Close:301.1800	Volume:97625
Time:5/29/2020 11:31:00 AM	Open:301.3700	Close:301.4750	Volume:115904
Time:5/29/2020 11:30:00 AM	Open:301.5900	Close:301.3600	Volume:153781
Time:5/29/2020 11:29:00 AM	Open:301.5400	Close:301.5850	Volume:140219
Time:5/29/2020 11:28:00 AM	Open:301.4600	Close:301.5400	Volume:76061
Time:5/29/2020 11:27:00 AM	Open:301.4700	Close:301.4700	Volume:66180
Time:5/29/2020 11:26:00 AM	Open:301.4200	Close:301.4750	Volume:74397
Time:5/29/2020 11:25:00 AM	Open:301.5750	Close:301.4150	Volume:84024
Time:5/29/2020 11:24:00 AM	Open:301.6367	Close:301.6000	Volume:146988
Time:5/29/2020 11:23:00 AM	Open:301.5500	Close:301.6200	Volume:90576
Time:5/29/2020 11:22:00 AM	Open:301.6100	Close:301.5400	Volume:88740
Time:5/29/2020 11:21:00 AM	Open:301.4100	Close:301.6100	Volume:141154
Time:5/29/2020 11:20:00 AM	Open:301.2700	Close:301.4300	Volume:256674
Time:5/29/2020 11:19:00 AM	Open:301.3300	Close:301.2700	Volume:60368
Time:5/29/2020 11:18:00 AM	Open:301.4416	Close:301.3200	Volume:73417
Time:5/29/2020 11:17:00 AM	Open:301.5100	Close:301.4300	Volume:135058
Time:5/29/2020 11:16:00 AM	Open:301.5500	Close:301.5300	Volume:141440
Time:5/29/2020 11:15:00 AM	Open:301.2900	Close:301.5350	Volume:145972
Time:5/29/2020 11:14:00 AM	Open:301.2800	Close:301.3100	Volume:69964
Time:5/29/2020 11:13:00 AM	Open:301.3800	Close:301.3100	Volume:100091
Time:5/29/2020 11:12:00 AM	Open:301.2500	Close:301.3900	Volume:219031
Time:5/29/2020 11:11:00 AM	Open:300.8000	Close:301.2400	Volume:228468
Time:5/29/2020 11:10:00 AM	Open:301.0300	Close:300.7900	Volume:139632
Time:5/29/2020 11:09:00 AM	Open:301.0500	Close:301.0200	Volume:66485
